Route (r),Time Block (t),Route type,"Old ridership (x_old,r,t)",Trip length km (L_r),"Average length hr (T_r,t)","Old frequency of buses (f_old,r,t)","Old number of buses (n_old,r,t) - continuous","Old number of buses (n_old,r,t) - discrete","Time block hr (H_block,t)",Driver horuly wage rate $/hr (W_driver),Price of fuel $/litre (P_fuel),Fuel consumption (FC),Maintenace cost $/km (P_maintenance),Passenger hourly wage rate $/hr (W_passenger),VTTS fraction of passenger wage (F_wage),"Emission intensity of a car kgCO2eq/KPT (I_GHG,car)",Average Length of passenger trip (L_avg_trip),Social cost of carbon $/tonne CO2eq (SCC)," Vehicle-miles saved per 1 km  of passenger km travelled (V_km,saved)",,
33,Night,Local,21,21.2,0.55,0.25,0.1375,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,4.24,0.275,5.8,,
34,Early AM,Local,21,20.0,0.554,0.571,0.316334,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,4,0.275,5.8,,
34,AM Peak,Local,275,20.0,0.582,2.36,1.37352,2,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,4,0.275,5.8,,
34,Midday,Local,395,20.0,0.56,2.55,1.428,2,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,4,0.275,5.8,,
34,PM Peak,Local,216,20.0,0.611,2.229,1.361919,2,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,4,0.275,5.8,,
34,Evening,Local,109,20.0,0.536,1.466,0.785776,1,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,4,0.275,5.8,,
34,Night,Local,22,20.0,0,0,0,0,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,4,0.275,5.8,,
35,Early AM,Local,17,23.6,0.625,0.286,0.17875,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,4.72,0.275,5.8,,
35,AM Peak,Local,406,23.6,0.687,3.28,2.25336,3,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,4.72,0.275,5.8,,
35,Midday,Local,650,23.6,0.476,2.534,1.206184,2,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,4.72,0.275,5.8,,
35,PM Peak,Local,516,23.6,0.736,2.943,2.166048,3,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,4.72,0.275,5.8,,
